name,year,parameters,title,paper_with_code,paper_link,flops,multiadds,fp_bp_ratio,training_epochs,training_set_size,training_dataset,training_time_total,training_time_total_sec,training_time_tpu_core_days,training_gpu_model,training_gpu_amount,training_gpu_ptp_gflops,training_tpu_model,training_tpu_amount,training_tpu_ptp_gflops,training_cpu_model,training_cpu_amount,training_cpu_ptp_gflops,pretraining_epochs,pretraining_set_size,pretraining_dataset,pretraining_time_total,pretraining_time_total_sec,pretraining_time_tpu_core_days,pretraining_gpu_model,pretraining_gpu_amount,pretraining_gpu_ptp_gflops,pretraining_tpu_model,pretraining_tpu_amount,pretraining_tpu_ptp_gflops,pretraining_cpu_model,pretraining_cpu_amount,pretraining_cpu_ptp_gflops,finetuning_epochs,finetuning_set_size,finetuning_dataset,finetuning_time_total,finetuning_time_total_sec,finetuning_time_tpu_core_days,finetuning_gpu_model,finetuning_gpu_amount,finetuning_gpu_ptp_gflops,finetuning_tpu_model,finetuning_tpu_amount,finetuning_tpu_ptp_gflops,finetuning_cpu_model,finetuning_cpu_amount,finetuning_cpu_ptp_gflops,network_operations,hardware_burden,log10net,log10hw,computing_power,comments,relevant,(TOP 1 score),(TOP 5 score)
name,year,parameters,paper,,,ops_forward_pass,,fp_bp_ratio,training,,,,,,,,,,,,,,,pre_training,,,,,,,,,,,,,,,fine_tuning,,,,,,,,,,,,,,,net_ops,hw_burden,log10(net_ops),log10(hw_bruden),,comments,,performance_metrics,
,,,title,pwc_url,paper_url,flops,multiadds,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,,,,,hw_burden_consolidated,,,top1_score,top5_score
,,,,,,,,,,,,total,total_sec, tpu_core_days,model,amount,ptp_gflops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,total,total_sec, tpu_core_days,model,amount,ptp_gflops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,total,total_sec, tpu_core_days,model,amount,ptp_flops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,,,,relevant,,
CoCa,2022,,CoCa: Contrastive Captioners are Image-Text Foundation Models,/paper/coca-contrastive-captioners-are-image-text,https://arxiv.org/pdf/2205.01917v1.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,5 days,4.32E+05,,,,,Cloud TPU v4,512,1.10E+06,,,,,,,,,,,,,,,,,,,,2.4E+23,,23.38614639,2.4E+23,,,91.00,
Model soups (ViT-G/14),2022,,Model soups: averaging weights of multiple fine-tuned models improves accuracy without increasing inference time,/paper/model-soups-averaging-weights-of-multiple,https://arxiv.org/pdf/2203.05482v1.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.94,
ViT-G/14,2021,1.84E+09,Scaling Vision Transformers,/paper/scaling-vision-transformers,https://arxiv.org/abs/2106.04560v1,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,Cloud TPU v3,256,4.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,90.45,
ViT-MoE-15B (Every-2),2021,1.47E+10,Scaling Vision with Sparse Mixture of Experts,/paper/scaling-vision-with-sparse-mixture-of-experts,https://arxiv.org/abs/2106.05974v1,,,3,,1280000,ImageNet 1K,16775.5 days,1.45E+09,1.68E+04,,,,Cloud TPU v3,0.125,4.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39E+22,7.6E+22,22.5301997,22.88134852,7.6E+22,,,90.35,
Meta Pseudo Labels (EfficientNet-L2),2020,4.80E+08,Meta Pseudo Labels,/paper/meta-pseudo-labels,http://openaccess.thecvf.com//content/CVPR2021/html/Pham_Meta_Pseudo_Labels_CVPR_2021_paper.html,,,3,,1280000,ImageNet 1K,11 days,9.50E+05,,,,,Cloud TPU v3,256,4.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0E+23,,23.00939568,1.0E+23,,,90.20,98.8
SwinV2-G,2021,3.00E+09,Swin Transformer V2: Scaling Up Capacity and Resolution,/paper/swin-transformer-v2-scaling-up-capacity-and,https://arxiv.org/pdf/2111.09883v1.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,5.00E+02,,,,Cloud TPU v3,,4.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,90.17,
Florence-CoSwin-H,2021,,Florence: A New Foundation Model for Computer Vision,/paper/florence-a-new-foundation-model-for-computer,https://arxiv.org/pdf/2111.11432v1.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.05,99.02
