name,year,parameters,title,paper_with_code,paper_link,flops,multiadds,fp_bp_ratio,training_epochs,training_set_size,training_dataset,training_time_total,training_time_total_sec,training_time_tpu_core_days,training_gpu_model,training_gpu_amount,training_gpu_ptp_gflops,training_tpu_model,training_tpu_amount,training_tpu_ptp_gflops,training_cpu_model,training_cpu_amount,training_cpu_ptp_gflops,pretraining_epochs,pretraining_set_size,pretraining_dataset,pretraining_time_total,pretraining_time_total_sec,pretraining_time_tpu_core_days,pretraining_gpu_model,pretraining_gpu_amount,pretraining_gpu_ptp_gflops,pretraining_tpu_model,pretraining_tpu_amount,pretraining_tpu_ptp_gflops,pretraining_cpu_model,pretraining_cpu_amount,pretraining_cpu_ptp_gflops,finetuning_epochs,finetuning_set_size,finetuning_dataset,finetuning_time_total,finetuning_time_total_sec,finetuning_time_tpu_core_days,finetuning_gpu_model,finetuning_gpu_amount,finetuning_gpu_ptp_gflops,finetuning_tpu_model,finetuning_tpu_amount,finetuning_tpu_ptp_gflops,finetuning_cpu_model,finetuning_cpu_amount,finetuning_cpu_ptp_gflops,network_operations,hardware_burden,comments,(BLEU),(SACREBLEU)
name,year,parameters,paper,,,ops_forward_pass,,fp_bp_ratio,training,,,,,,,,,,,,,,,pre_training,,,,,,,,,,,,,,,fine_tuning,,,,,,,,,,,,,,,net_ops,hw_burden,comments,performance_metrics,
,,,title,pwc_url,paper_url,flops,multiadds,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,,,,bleu,sacrebleu
,,,,,,,,,,,,total,total_sec, tpu_core_days,model,amount,ptp_gflops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,total,total_sec, tpu_core_days,model,amount,ptp_gflops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,total,total_sec, tpu_core_days,model,amount,ptp_flops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,,
Transformer Cycle (Rev),2021,,Lessons on Parameter Sharing across Layers in Transformers,/paper/lessons-on-parameter-sharing-across-layers-in,https://arxiv.org/abs/2104.06022v1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.14,33.54
Noisy back-translation,2018,,Understanding Back-Translation at Scale,/paper/understanding-back-translation-at-scale,https://www.aclweb.org/anthology/D18-1045/,,,3,,,,22.5 hrs,8.10E+04,,Tesla V100 PCIe 32 GB,128,14130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46E+20,,35.00,33.8
Transformer+Rep (Uni),2021,,Rethinking Perturbations in Encoder-Decoders for Fast Training,/paper/rethinking-perturbations-in-encoder-decoders,https://www.aclweb.org/anthology/2021.naacl-main.460,,,3,,,,,,,Tesla V100 PCIe 32 GB,8,14130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.89,32.35
T5-11B,2019,1.10E+10,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,/paper/exploring-the-limits-of-transfer-learning,https://arxiv.org/abs/1910.10683v3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.10,
BiBERT,2021,,"BERT, mBERT, or BiBERT? A Study on Contextualized Embeddings for Neural Machine Translation",/paper/bert-mbert-or-bibert-a-study-on,https://arxiv.org/pdf/2109.04588v1.pdf,,,3,,,,4 weeks,2.42E+06,,,,,Cloud TPU v3,1,4.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02E+21,,31.26,
Transformer + R-Drop,2021,,R-Drop: Regularized Dropout for Neural Networks,/paper/r-drop-regularized-dropout-for-neural,https://arxiv.org/abs/2106.14448v1,,,3,,,,,,,Tesla V100 PCIe 32 GB,8,14130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.91,
BERT-fused NMT,2020,,Incorporating BERT into Neural Machine Translation,/paper/incorporating-bert-into-neural-machine-1,https://openreview.net/forum?id=Hyl7ygStwB,,,3,,,,24 days,2.07E+06,,Tesla M40,8,6844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14E+20,,30.75,
