name,year,parameters,title,paper_with_code,paper_link,flops,multiadds,fp_bp_ratio,training_epochs,training_set_size,training_dataset,training_time_total,training_time_total_sec,training_time_tpu_core_days,training_gpu_model,training_gpu_amount,training_gpu_ptp_gflops,training_tpu_model,training_tpu_amount,training_tpu_ptp_gflops,training_cpu_model,training_cpu_amount,training_cpu_ptp_gflops,pretraining_epochs,pretraining_set_size,pretraining_dataset,pretraining_time_total,pretraining_time_total_sec,pretraining_time_tpu_core_days,pretraining_gpu_model,pretraining_gpu_amount,pretraining_gpu_ptp_gflops,pretraining_tpu_model,pretraining_tpu_amount,pretraining_tpu_ptp_gflops,pretraining_cpu_model,pretraining_cpu_amount,pretraining_cpu_ptp_gflops,finetuning_epochs,finetuning_set_size,finetuning_dataset,finetuning_time_total,finetuning_time_total_sec,finetuning_time_tpu_core_days,finetuning_gpu_model,finetuning_gpu_amount,finetuning_gpu_ptp_gflops,finetuning_tpu_model,finetuning_tpu_amount,finetuning_tpu_ptp_gflops,finetuning_cpu_model,finetuning_cpu_amount,finetuning_cpu_ptp_gflops,network_operations,hardware_burden,comments,(BLEU),(SACREBLEU)
name,year,parameters,paper,,,ops_forward_pass,,fp_bp_ratio,training,,,,,,,,,,,,,,,pre_training,,,,,,,,,,,,,,,fine_tuning,,,,,,,,,,,,,,,net_ops,hw_burden,comments,performance_metrics,
,,,title,pwc_url,paper_url,flops,multiadds,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,,,,bleu,sacrebleu
,,,,,,,,,,,,total,total_sec, tpu_core_days,model,amount,ptp_gflops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,total,total_sec, tpu_core_days,model,amount,ptp_gflops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,total,total_sec, tpu_core_days,model,amount,ptp_flops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,,
Transformer+BT (ADMIN init),2020,,Very Deep Transformers for Neural Machine Translation,/paper/very-deep-transformers-for-neural-machine,https://arxiv.org/abs/2008.07772v2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.40,44.4
Noisy back-translation,2018,,Understanding Back-Translation at Scale,/paper/understanding-back-translation-at-scale,https://www.aclweb.org/anthology/D18-1045/,,,3,,,,27hrs 40mins,9.96E+04,,Tesla V100 PCIe 32 GB,128,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80E+20,,45.60,43.8
mRASP+Fine-Tune,2020,,Pre-training Multilingual Neural Machine Translation by Leveraging Alignment Information,/paper/pre-training-multilingual-neural-machine,https://www.aclweb.org/anthology/2020.emnlp-main.210,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.30,41.7
Transformer + R-Drop,2021,,R-Drop: Regularized Dropout for Neural Networks,/paper/r-drop-regularized-dropout-for-neural,https://arxiv.org/abs/2106.14448v1,,,3,,,,500 min,3.00E+04,,GeForce RTX 3090,8,3.56E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54E+18,,43.95,
Admin,2020,,Understanding the Difficulty of Training Transformers,/paper/understanding-the-difficulty-of-training,https://www.aclweb.org/anthology/2020.emnlp-main.463,,,3,,,,2.5 days,2.16E+05,,Tesla V100 PCIe 32 GB,16,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88E+19,,43.80,
BERT-fused NMT,2020,,Incorporating BERT into Neural Machine Translation,/paper/incorporating-bert-into-neural-machine-1,https://openreview.net/forum?id=Hyl7ygStwB,,,3,,,,10 days,8.64E+05,,Tesla M40,8,6.84E+03,,,,,,,,,,14 days,1.21E+06,,Tesla M40,8,6.84E+03,,,,,,,,,,,,,,,,,,,,,,,1.14E+20,,43.78,
MUSE(Paralllel Multi-scale Attention),2019,,MUSE: Parallel Multi-Scale Attention for Sequence to Sequence Learning,/paper/muse-parallel-multi-scale-attention-for,https://arxiv.org/abs/1911.09483v1,,,3,,,,,,,GeForce RTX 2080 Ti,4,1.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.50,
