name,year,parameters,title,paper_with_code,paper_link,flops,multiadds,fp_bp_ratio,training_epochs,training_set_size,training_dataset,training_time_total,training_time_total_sec,training_time_tpu_core_days,training_gpu_model,training_gpu_amount,training_gpu_ptp_gflops,training_tpu_model,training_tpu_amount,training_tpu_ptp_gflops,training_cpu_model,training_cpu_amount,training_cpu_ptp_gflops,pretraining_epochs,pretraining_set_size,pretraining_dataset,pretraining_time_total,pretraining_time_total_sec,pretraining_time_tpu_core_days,pretraining_gpu_model,pretraining_gpu_amount,pretraining_gpu_ptp_gflops,pretraining_tpu_model,pretraining_tpu_amount,pretraining_tpu_ptp_gflops,pretraining_cpu_model,pretraining_cpu_amount,pretraining_cpu_ptp_gflops,finetuning_epochs,finetuning_set_size,finetuning_dataset,finetuning_time_total,finetuning_time_total_sec,finetuning_time_tpu_core_days,finetuning_gpu_model,finetuning_gpu_amount,finetuning_gpu_ptp_gflops,finetuning_tpu_model,finetuning_tpu_amount,finetuning_tpu_ptp_gflops,finetuning_cpu_model,finetuning_cpu_amount,finetuning_cpu_ptp_gflops,network_operations,hardware_burden,comments,(F1 score)
name,year,parameters,paper,,,ops_forward_pass,,fp_bp_ratio,training,,,,,,,,,,,,,,,pre_training,,,,,,,,,,,,,,,fine_tuning,,,,,,,,,,,,,,,net_ops,hw_burden,comments,performance_metrics
,,,title,pwc_url,paper_url,flops,multiadds,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,,,,f1_score
,,,,,,,,,,,,total,total_sec, tpu_core_days,model,amount,ptp_gflops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,total,total_sec, tpu_core_days,model,amount,ptp_gflops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,total,total_sec, tpu_core_days,model,amount,ptp_flops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,
ACE + document-context,2021,,Automated Concatenation of Embeddings for Structured Prediction,/paper/automated-concatenation-of-embeddings-for-1,https://arxiv.org/abs/2010.05006v4,,,3,,,,45 hours,1.62E+05,,Tesla P100 PCIe 16 GB,1,9.53E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54E+18,,94.60
LUKE,2020,,LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention,/paper/luke-deep-contextualized-entity,https://arxiv.org/pdf/2010.01057v1,,,3,,,,30 days,2.59E+06,,Tesla V100 PCIe 32 GB,16,1.41E+04,,,,Intel Xeon Platinum 8168,2,2.07E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97E+20,,94.30
Co-regularized LUKE,2021,,Learning from Noisy Labels for Entity-Centric Information Extraction,/paper/learning-from-noisy-labels-for-entity-centric,https://arxiv.org/pdf/2104.08656v2.pdf,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.22
FLERT XLM-R,2021,,FLERT: Document-Level Features for Named Entity Recognition,/paper/flert-document-level-features-for-named,https://arxiv.org/pdf/2011.06993v2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.09
PL-Marker,2021,,Pack Together: Entity and Relation Extraction with Levitated Marker,/paper/pack-together-entity-and-relation-extraction,https://arxiv.org/pdf/2109.06067v1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.00
CL-KL,2021,,Improving Named Entity Recognition by External Context Retrieving and Cooperative Learning,/paper/improving-named-entity-recognition-by,https://arxiv.org/abs/2105.03654v2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.85
InferNER,2021,,InferNER: an attentive model leveraging the sentence-level information for Named Entity Recognition in Microblogs,/paper/inferner-an-attentive-model-leveraging-the,https://journals.flvc.org/FLAIRS/article/view/128538,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.76
