name,year,parameters,title,paper_with_code,paper_link,flops,multiadds,fp_bp_ratio,training_epochs,training_set_size,training_dataset,training_time_total,training_time_total_sec,training_time_tpu_core_days,training_gpu_model,training_gpu_amount,training_gpu_ptp_gflops,training_tpu_model,training_tpu_amount,training_tpu_ptp_gflops,training_cpu_model,training_cpu_amount,training_cpu_ptp_gflops,pretraining_epochs,pretraining_set_size,pretraining_dataset,pretraining_time_total,pretraining_time_total_sec,pretraining_time_tpu_core_days,pretraining_gpu_model,pretraining_gpu_amount,pretraining_gpu_ptp_gflops,pretraining_tpu_model,pretraining_tpu_amount,pretraining_tpu_ptp_gflops,pretraining_cpu_model,pretraining_cpu_amount,pretraining_cpu_ptp_gflops,finetuning_epochs,finetuning_set_size,finetuning_dataset,finetuning_time_total,finetuning_time_total_sec,finetuning_time_tpu_core_days,finetuning_gpu_model,finetuning_gpu_amount,finetuning_gpu_ptp_gflops,finetuning_tpu_model,finetuning_tpu_amount,finetuning_tpu_ptp_gflops,finetuning_cpu_model,finetuning_cpu_amount,finetuning_cpu_ptp_gflops,network_operations,hardware_burden,lo10net,log10hw,computing_power,comments,(BOX AP),(AP50),(AP75),(APS),(APM),(APL)
name,year,parameters,paper,,,ops_forward_pass,,fp_bp_ratio,training,,,,,,,,,,,,,,,pre_training,,,,,,,,,,,,,,,fine_tuning,,,,,,,,,,,,,,,net_ops,hw_burden,log10(net_ops),log10(hw_bruden),,comments,performance_metrics,,,,,
,,,title,pwc_url,paper_url,flops,multiadds,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,epochs,set_size,dataset_name,time,,,gpu,,,tpu,,,cpu,,,,,,,Computing Power,,box_ap,ap50,ap75,aps,apm,apl
,,,,,,,,,,,,total,total_sec, tpu_core_days,model,amount,ptp_gflops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,total,total_sec, tpu_core_days,model,amount,ptp_gflops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,total,total_sec, tpu_core_days,model,amount,ptp_flops,model,amount,ptp_gflops,model,amount,ptp_gflops,,,,,,,,,,,,
Florence-CoSwin-H,2021,,Florence: A New Foundation Model for Computer Vision,/paper/florence-a-new-foundation-model-for-computer,https://arxiv.org/pdf/2111.11432v1.pdf,,,3,,118000,COCO test_dev,10 days,8.64E+05,,A100 SXM4 40 GB,512,1.95E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62E+21,,21.93559554,8.62E+21,,62.40,,,,,
"CPNDet (Hourglass-104, multi-scale)",2020,,"Corner Proposal Network for Anchor-free, Two-stage Object Detection",/paper/corner-proposal-network-for-anchor-free-two,https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/492_ECCV_2020_paper.php,,,3,,118000,COCO test_dev,9 days,7.78E+05,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79E+19,,19.9439884,8.79E+19,,49.20,67.3,53.7,31,51.9,62.4
"CenterNet-HG (Hourglass-104, multi-scale)",2019,,Objects as Points,,https://arxiv.org/pdf/1904.07850v2.pdf,,,3,140,118000,COCO test_dev,5 days,4.32E+05,,GeForce Titan V,8,1.49E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15E+19,,19.71173668,5.15E+19,,45.10,,,,,
SaccadeNet (DLA-34-DCN),2020,,SaccadeNet: A Fast and Accurate Object Detector,/paper/saccadenet-a-fast-and-accurate-object,http://openaccess.thecvf.com/content_CVPR_2020/html/Lan_SaccadeNet_A_Fast_and_Accurate_Object_Detector_CVPR_2020_paper.html,,,3,,118000,COCO test_dev,10 days,8.64E+05,,Geforce RTX 2080 Ti,4,1.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65E+19,,19.66719914,4.65E+19,,38.50,55.6,41.4,19.2,42.1,50.6
"M2Det (VGG-16, multi-scale)",2018,,M2Det: A Single-Shot Object Detector based on Multi-Level Feature Pyramid Network,/paper/m2det-a-single-shot-object-detector-based-on,https://arxiv.org/abs/1811.04533v3,,,3,,118000,COCO test_dev,14 days,1.21E+06,,Tesla V100 PCIe 32 GB,2,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42E+19,,19.53381394,3.42E+19,,44.20,64.6,49.3,29.2,47.9,55.1
"InterNet (ResNet-101-FPN, multi-scale)",2019,,Feature Intertwiner for Object Detection,/paper/feature-intertwiner-for-object-detection-1,https://openreview.net/forum?id=SyxZJn05YX,,,3,,118000,COCO test_dev,3.4 days,2.94E+05,,GeForce Titan X,8,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58E+19,,19.41145552,2.58E+19,,44.20,67.5,51.1,27.2,50.3,57.7
RetinaMask (ResNeXt-101-FPN-GN),2019,,RetinaMask: Learning to predict masks improves state-of-the-art single-shot detection for free,/paper/retinamask-learning-to-predict-masks-improves,https://arxiv.org/abs/1901.03353v1,,,3,,118000,COCO test_dev,75 hours,2.70E+05,,GeForce GTX 1080 Ti,4,1.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22E+19,,19.08802532,1.22E+19,,42.60,62.5,46,24.8,45.6,53.8
